title,description,publishedAt,url
Pope Leo condemns exploitation of the poor at inaugural mass - CNN,"Leo XIV, the first ever American pope, condemned the exploitation of the poor and called for unity in the church during his inaugural Mass in St. Peter’s Square, an event attended by world leaders, royalty and tens of thousands of believers.",2025-05-18T10:16:00Z,https://www.cnn.com/2025/05/18/europe/pope-leo-inauguration-mass-intl
"Russia launches biggest drone attack on Ukraine since start of war, killing at least 1 - AP News","Russia has launched its most intense drone attack on Ukraine since the beginning of its full-scale invasion in 2022, Ukrainian officials confirmed to the Associated Press. Russia fired a total of 273 exploding drones and decoys overnight, Ukraine’s air force …",2025-05-18T10:06:00Z,https://apnews.com/article/russia-ukraine-drone-attack-deadly-ceasefire-talks-b18d7ad72951680f24dbf289976c6251
"After years of flying high, celebrity tequila braces for impact - CNN","Matthew and Camila McConaughey’s tequila, Pantalones, is anything but subtle. After all, the husband and wife cofounders stand proudly pantsless in many of their ads as a cheeky away to promote the nearly two-year-old brand.",2025-05-18T07:00:00Z,https://www.cnn.com/2025/05/18/food/tequila-popularity-sales-2025
Column | Caitlin Clark fouled Angel Reese — and the WNBA was officially back - The Washington Post,"After a sometimes exhausting rookie season in the WNBA, the Caitlin Clark-Angel Reese rivalry didn’t wait long to reappear in Year 2.",2025-05-18T06:48:12Z,https://www.washingtonpost.com/sports/2025/05/17/caitlin-clark-angel-reese-fever-sky/
Trump Justice Dept. considers removing key check on lawmaker prosecutions - The Washington Post,The Justice Department’s Public Integrity Section is charged with ensuring cases against elected officials are not politically motivated. The Trump administration is considering changing that.,2025-05-18T06:05:48Z,https://www.washingtonpost.com/national-security/2025/05/17/trump-justice-department-prosecutions/
Newspaper headlines: 'Surrender summit' and 'Post Office choir' - BBC,Monday's EU-UK summit dominates the papers with Starmer's new deal under scrutiny.,2025-05-18T04:37:23Z,https://www.bbc.com/news/articles/c4grm67d01jo
Austria’s JJ wins Eurovision 2025 with ‘Wasted Love’ - CNN,"Austria won its third Eurovision Song Contest after a glittering grand final in neighboring Switzerland, with singer JJ earning the continent’s votes for the operatic pop anthem “Wasted Love.”",2025-05-18T04:36:00Z,https://www.cnn.com/2025/05/17/entertainment/eurovision-song-contest-winner-austria-jj-latam-intl
"Your lookahead horoscope: May 18, 2025 - The Globe and Mail","Your daily horoscope for Sunday, May 18, 2025",2025-05-18T04:01:00Z,https://www.theglobeandmail.com/life/horoscopes/article-your-lookahead-horoscope-may-18-2025/
"Live lineup updates, results from 2025 All-Star Race Weekend - NASCAR.com","View how the 2025 NASCAR All-Star Race Weekend at North Wilkesboro Speedway works, including lineups being established in real time.",2025-05-18T03:21:53Z,https://www.nascar.com/news-media/2025/05/17/live-lineup-updates-results-from-2025-all-star-race-weekend/
FDA approves Novavax COVID-19 shot but with unusual restrictions - AP News,"The Food and Drug Administration has approved Novavax's COVID-19 vaccine but with unusual restrictions. Novavax makes the nation's only traditional protein-based coronavirus vaccine and while it has long been authorized for use, it had expected full approval …",2025-05-18T02:21:00Z,https://apnews.com/article/novavax-covid19-vaccine-fda-a477c1aa612ceb293e70d904b46611b0
Fatal blast near Palm Spring fertility clinic 'act of terrorism' - FBI - BBC,One person was killed and four injured in Saturday's explosion outside the American Reproductive Centers.,2025-05-18T01:18:24Z,https://www.bbc.com/news/articles/cyvme1e8gd5o
Main Card Results | UFC Fight Night: Burns vs Morales - UFC.com,"See The Fight Results, Watch Post-Fight Interviews With The Main Card Winners And More From UFC Fight Night: Burns vs Morales, Live From T-Mobile Arena In Las Vegas On May 17",2025-05-18T00:00:00Z,https://www.ufc.com/news/main-card-results-highlights-winner-interviews-ufc-fight-night-burns-vs-morales-apex-las-vegas
Israel launches a new military operation in Gaza. Netanyahu tells negotiating team to stay at talks - AP News,Israel says it has launched a major military operation in Gaza to pressure Hamas to release remaining hostages. An Israeli official says Prime Minister Benjamin Netanyahu has told a negotiating team to remain in Qatar for indirect talks with the militant grou…,2025-05-17T23:32:00Z,https://apnews.com/article/mideast-wars-israel-gaza-hamas-hostages-05-17-2025-baec52efaea911bf56f8ec25758b7011
Trump says he will speak to Putin and Zelensky on Monday and push for ceasefire - Axios,Trump is pushing hard for a ceasefire between Russia and Ukraine and has threatened to sanction any party that obstructs a deal.,2025-05-17T22:26:17Z,https://www.axios.com/2025/05/17/trump-putin-zelensky-ceasefire-talk
Photos: St. Louis begins recovery after a powerful tornado ripped through the city - STLPR,"""It literally had looked like a bomb had just went off,"" one volunteer said of the tornado's damage in north St. Louis. ""Blocks and blocks of homes that are just gone.""",2025-05-17T22:25:00Z,https://www.stlpr.org/health-science-environment/2025-05-17/photos-st-louis-tornado-clean-up
Amazon claims its ‘constantly inviting’ new customers to Alexa Plus - The Verge,"Amazon says “hundreds of thousands” already have access to Alexa Plus, refuting a Reuters report that questions where those users are.",2025-05-17T22:13:15Z,https://www.theverge.com/news/669158/amazon-claims-its-constantly-inviting-new-customers-to-alexa-plus
"Rail strike latest: NJ Transit, BLET chairman agree that talks are ‘moving in the right direction’ - News 12 - New Jersey",Four hundred engineers and trainees stepped off the job and on to the picket line on Friday in the hopes of receiving better pay.,2025-05-17T21:56:15Z,https://newjersey.news12.com/nj-transit-ceo-says-deal-in-engineer-strike-is-close-sides-meet-at-1-pm
Trump Suggests Supreme Court Is ‘Illegally’ Blocking His Lawless Deportations - Rolling Stone,Donald Trump is furious at the Supreme Court after it halted his efforts to deport migrants under the Alien Enemies Act without due process.,2025-05-17T21:12:25Z,http://www.rollingstone.com/politics/politics-news/trump-supreme-court-alien-enemies-act-illegal-1235342052/
